resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,3356,3356,0,Workout,Workout,,Garmin Forerunner 265S,16234651781,2025-10-23T17:07:04Z,2025-10-23T19:07:04Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,1,0,1,0,"{'id': 'a16234651781', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,135.8,204.0,False,True,0.0,0.0,17318861311,17318861311,garmin_ping_494082700457,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,2010,2010,0,Workout,Workout,,Garmin Forerunner 265S,16202819823,2025-10-20T16:38:06Z,2025-10-20T18:38:06Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,1,0,1,0,"{'id': 'a16202819823', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,126.8,183.0,False,True,0.0,0.0,17286852352,17286852352,garmin_ping_492996391594,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Lunch Run,6455.2,2036,2069,10.0,Run,Run,,Garmin Forerunner 265S,15887028747,2025-09-21T10:52:05Z,2025-09-21T12:52:05Z,(GMT+01:00) Europe/Berlin,7200.0,,,,0,5,0,119,0,"{'id': 'a15887028747', 'summary_polyline': 'o|l_IownpADm@HwBB}AJ}A`@eCb@kAV_BVu@VmCp@mEN}BHy@f@wDz@eF^{DF]Fy@Ny@@SKWk@]_@g@mAw@gAc@WGWASBk@@a@IUOi@g@c@Wg@k@a@SKI[a@y@w@k@w@a@[q@y@o@e@E?[Ku@{@UQe@YOCSKa@k@g@]gAcAcAqAs@o@yAcBm@g@[c@USUM]Ku@k@c@Sc@YOE][u@]USCG?@G@a@ESKy@YIIe@OUOo@SWQ_@QOYKES[i@_Be@gAG]I}AEYAkAG{A@[G_A@_@QkDK{ACaC[kEIwCCwBWcEMoEOgDI_EM}BIqGKaDGm@IiDKsAKaEEm@AoAD[@m@YuFB{@EgB@eBO_CGmBCcAMqAUwA]kKEkB@u@OwBCyAKeAACQKO?_@Bo@NMAEE@JAAEF_@Cm@L_@BSFGNEZ?ZFdEDj@FrFARKTULSHEAC@KCm@FEAsAVYB]ASF_@@_BPOAY@s@JCD@r@E`@?ZHxAHnBDhGL~A?ZDn@Cx@?xBEbA@`DRdBBd@APGPQDk@Fo@@}@`@IHGBsBZaADIBCJ@v@D`@@j@@hEFzAHdADrDJ`CPxHJlA@v@H~ACnAIrAFzACv@ArCJdCAt@T|G', 'resource_state': 2}",False,False,False,False,followers_only,False,g20996699,"[52.500888, 13.347588]","[52.515949, 13.372084]",3.171,4.7,87.8,317.0,451,314,True,645.3,True,182.5,196.0,False,True,42.2,35.4,16966334249,16966334249,garmin_ping_482635690438,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Lunch Run,6364.3,1875,1878,14.0,Run,Run,,Garmin Forerunner 265S,15886113670,2025-09-21T10:02:36Z,2025-09-21T12:02:36Z,(GMT+01:00) Europe/Berlin,7200.0,,,,0,5,0,6,0,"{'id': 'a15886113670', 'summary_polyline': 'ojg_IqthpAEtCBdABLXn@T\\P\\RVVz@b@fAT\\NZNPP`@fApDn@hBXlA\\fAd@lAXxAf@vAP`ATt@`@vBNd@JNTv@R`ABZPr@N~@\\v@b@nBRt@`@zC@^EP[r@c@p@cArAK`@FVf@fAZhAb@jAL`AEbBKj@GlAQ|AEz@Il@I~@Cp@Kr@Q~BGb@En@M`A_@vDIj@k@zHg@hECnAGv@OlAc@dCUnB[lDMx@En@Mn@OhBI`@AX[fCa@pEM`Ag@~EIn@g@`B?v@Gh@Wj@SV]l@aBvBs@jAITi@n@KRm@v@{AbBo@fASXUTSb@a@l@Yf@y@jAUZWPMRIRe@j@_@p@o@x@eAhBY\\mBvCa@t@]b@_@\\w@bAKFC@KEe@m@g@_Aq@eAq@qAUYe@aAU_@Ui@o@gA[_@Q]OOUYWi@c@o@Uc@_@{@w@yA]{@[g@[s@KQ}@wBAa@c@k@AI]m@}@yB]o@u@gBq@sAe@oAa@u@KWk@eAQq@qAkCq@iBYg@Se@s@yA_@m@e@oAYi@Yw@Wc@q@aBMUuBaFe@y@KY]o@mAsCk@iAaB{DoAiCy@wBK[O[w@_C[s@UoAKuA?cEBa@?}@DcBAq@HsB?iFBmAKoBGi@Ac@Ou@Gg@]_A_@kBYk@I[Q_Ac@cBE[IWYmAGMOw@', 'resource_state': 2}",False,False,False,False,followers_only,False,g20996699,"[52.471564, 13.32466]","[52.49081, 13.313514]",3.394,4.76,87.6,339.7,427,339,True,637.1,True,185.0,198.0,False,True,55.8,41.0,16965396958,16965396958,garmin_ping_482617900194,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,3317,3317,0,Workout,Workout,,Garmin Forerunner 265S,15834017440,2025-09-16T17:10:50Z,2025-09-16T19:10:50Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,1,0,1,0,"{'id': 'a15834017440', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,130.1,183.0,False,True,0.0,0.0,16911905964,16911905964,garmin_ping_480983449846,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,2072,2072,0,Workout,Workout,,Garmin Forerunner 265S,15822564241,2025-09-15T17:37:40Z,2025-09-15T19:37:40Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,1,0,1,0,"{'id': 'a15822564241', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,134.8,177.0,False,True,0.0,0.0,16900135153,16900135153,garmin_ping_480632713235,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Lunch Pilates,0.0,3148,3148,0,Workout,Pilates,,Garmin Forerunner 265S,15807119548,2025-09-14T09:57:40Z,2025-09-14T11:57:40Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,1,0,1,0,"{'id': 'a15807119548', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,63.0,True,79.3,114.0,False,True,0.0,0.0,16884007773,16884007773,garmin_ping_480152870754,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,2981,2981,0,Workout,Workout,,Garmin Forerunner 265S,15778384802,2025-09-11T17:10:52Z,2025-09-11T19:10:52Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,1,0,1,0,"{'id': 'a15778384802', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,127.7,184.0,False,True,0.0,0.0,16853641643,16853641643,garmin_ping_479235812822,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,2466,2466,0,Workout,Workout,,Garmin Forerunner 265S,15742382494,2025-09-08T16:38:48Z,2025-09-08T18:38:48Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,1,0,1,0,"{'id': 'a15742382494', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,113.2,159.0,False,True,0.0,0.0,16815675637,16815675637,garmin_ping_478147363909,False,0,0,False
2,"{'id': 100507849, 'resource_state': 1}",Evening Workout,0.0,3121,3121,0,Workout,Workout,,Garmin Forerunner 265S,15697596237,2025-09-04T17:10:27Z,2025-09-04T19:10:27Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,1,0,1,0,"{'id': 'a15697596237', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,135.6,185.0,False,True,0.0,0.0,16768144697,16768144697,garmin_ping_476771559320,False,0,0,False
